aX,aY,aZ,gX,gY,gZ
1.575,0.163,-1.729,1.139,-0.429,0.678
1.384,0.105,-1.231,1.131,-0.485,0.625
1.250,0.000,-0.704,1.159,-0.533,0.604
1.202,-0.024,-0.292,1.205,-0.557,0.605
1.250,0.053,-0.110,1.242,-0.562,0.606
1.446,0.158,-0.062,1.248,-0.549,0.590
1.690,0.254,-0.024,1.218,-0.513,0.549
1.848,0.373,0.048,1.149,-0.459,0.475
1.800,0.512,0.153,1.055,-0.393,0.379
1.528,0.594,0.354,0.951,-0.333,0.285
1.130,0.622,0.603,0.855,-0.269,0.217
0.713,0.675,0.814,0.770,-0.207,0.188
0.402,0.852,0.910,0.702,-0.174,0.187
0.493,1.082,0.972,0.623,-0.134,0.196
0.479,1.355,0.948,0.522,-0.066,0.212
0.565,1.633,1.044,0.402,-0.085,0.202
0.819,1.729,1.365,0.264,-0.079,0.186
0.962,1.776,1.853,0.125,-0.036,0.162
1.020,1.762,2.442,-0.005,-0.001,0.126
1.034,1.652,3.179,-0.103,0.040,0.085
0.838,1.504,4.032,-0.153,0.103,0.052
0.512,1.446,4.702,-0.146,0.185,0.036
0.182,1.551,5.023,-0.110,0.269,0.031
-0.168,1.757,5.061,-0.076,0.324,0.033
-0.460,1.987,4.980,-0.062,0.330,0.036
-0.618,2.160,4.990,-0.068,0.289,0.038
-0.699,2.274,5.109,-0.086,0.205,0.031
-0.680,2.361,5.459,-0.100,0.097,0.018
-0.603,2.389,5.871,-0.102,-0.011,0.000
-0.503,2.433,6.239,-0.093,-0.103,-0.023
-0.445,2.543,6.527,-0.090,-0.172,-0.054
-0.469,2.682,6.785,-0.099,-0.220,-0.090
-0.555,2.801,7.049,-0.118,-0.240,-0.121
-0.675,2.873,7.331,-0.141,-0.234,-0.139
-0.757,2.921,7.633,-0.162,-0.205,-0.148
-0.843,2.954,7.920,-0.182,-0.168,-0.151
-0.929,2.945,8.174,-0.194,-0.142,-0.158
-0.991,2.916,8.375,-0.195,-0.119,-0.166
-1.087,2.907,8.452,-0.197,-0.086,-0.173
-1.173,2.935,8.480,-0.205,-0.060,-0.178
-1.245,2.945,8.581,-0.219,-0.044,-0.180
-1.269,2.926,8.782,-0.231,-0.024,-0.176
-1.245,2.892,8.959,-0.237,-0.006,-0.173
-1.255,2.816,9.131,-0.239,0.019,-0.175
-1.374,2.753,9.395,-0.226,0.039,-0.181
-1.547,2.701,9.572,-0.200,0.069,-0.187
-1.834,2.677,9.601,-0.172,0.097,-0.187
-2.150,2.701,9.586,-0.155,0.110,-0.179
-2.461,2.696,9.586,-0.146,0.105,-0.164
-2.653,2.662,9.687,-0.142,0.081,-0.139
-2.672,2.634,9.811,-0.133,0.058,-0.107
-2.571,2.581,10.056,-0.107,0.031,-0.083
-2.442,2.504,10.257,-0.058,0.013,-0.069
-2.423,2.452,10.324,0.005,0.010,-0.065
-2.543,2.495,10.185,0.059,0.011,-0.063
-2.720,2.571,9.931,0.098,0.009,-0.050
-2.811,2.701,9.615,0.114,0.013,-0.025
-2.796,2.796,9.318,0.113,0.021,0.001
-2.705,2.926,9.112,0.096,0.030,0.021

-11.832,-8.782,20.710,-0.298,0.559,0.601
-12.531,-9.127,21.538,-0.241,0.608,0.694
-13.173,-9.385,22.261,-0.171,0.618,0.764
-13.891,-9.701,22.874,-0.078,0.562,0.816
-14.715,-10.372,23.707,0.086,0.397,0.870
-15.356,-11.104,24.440,0.302,0.172,0.931
-15.720,-11.741,24.876,0.589,-0.103,1.008
-15.759,-12.191,24.857,0.913,-0.383,1.088
-15.644,-12.469,24.450,1.239,-0.654,1.157
-15.356,-12.632,23.679,1.590,-0.931,1.236
-15.055,-12.708,22.874,1.875,-1.125,1.319
-14.681,-12.694,21.917,2.152,-1.275,1.426
-14.145,-12.498,20.729,2.410,-1.391,1.550
-13.297,-12.119,19.321,2.630,-1.469,1.687
-12.119,-11.483,17.607,2.821,-1.517,1.838
