aX,aY,aZ,gX,gY,gZ
-25.273,-10.961,6.072,0.640,0.342,-4.129
-25.489,-10.266,6.292,0.681,0.414,-3.720
-25.379,-9.491,6.354,0.723,0.440,-3.336
-25.048,-8.701,6.397,0.761,0.420,-2.981
-24.646,-8.011,6.541,0.803,0.366,-2.643
-24.162,-7.283,6.752,0.872,0.277,-2.295
-23.262,-6.474,6.828,0.953,0.200,-1.922
-21.586,-5.296,6.579,1.032,0.175,-1.477
-19.810,-4.219,6.167,1.063,0.176,-1.143
-18.019,-3.203,5.598,1.049,0.202,-0.864
-16.362,-2.303,5.076,0.991,0.235,-0.642
-14.825,-1.614,4.702,0.909,0.286,-0.463
-13.465,-1.020,4.377,0.819,0.339,-0.315
-12.139,-0.474,4.075,0.724,0.394,-0.194
-10.942,0.053,3.735,0.615,0.447,-0.100
-9.869,0.541,3.419,0.488,0.472,-0.032
-8.930,0.934,3.352,0.341,0.449,0.004
-8.169,1.178,3.596,0.189,0.404,0.015
-7.628,1.293,4.089,0.053,0.358,0.015
-7.321,1.317,4.755,-0.053,0.308,0.016
-7.092,1.269,5.435,-0.127,0.260,0.022
-6.924,1.245,6.019,-0.180,0.230,0.036
-6.790,1.207,6.507,-0.222,0.202,0.058
-6.608,1.154,6.910,-0.257,0.187,0.085
-6.402,1.068,7.326,-0.286,0.179,0.111
-6.158,0.991,7.685,-0.307,0.185,0.135
-5.962,0.867,8.001,-0.318,0.203,0.152
-5.784,0.757,8.289,-0.318,0.225,0.165
-5.693,0.661,8.394,-0.309,0.249,0.174
-5.626,0.627,8.384,-0.304,0.270,0.184
-5.588,0.555,8.332,-0.306,0.279,0.195
-5.535,0.445,8.351,-0.313,0.275,0.206
-5.516,0.306,8.437,-0.314,0.258,0.212
-5.583,0.101,8.633,-0.297,0.229,0.219
-5.751,-0.043,8.748,-0.262,0.200,0.231
-5.895,-0.091,8.705,-0.232,0.180,0.253
-5.981,-0.139,8.586,-0.222,0.162,0.280
-6.024,-0.215,8.581,-0.229,0.140,0.307
-5.990,-0.297,8.667,-0.243,0.125,0.338
-5.952,-0.354,8.724,-0.261,0.121,0.372
-5.899,-0.417,8.787,-0.281,0.127,0.404
-5.890,-0.517,8.878,-0.302,0.133,0.438
-5.923,-0.622,8.959,-0.322,0.137,0.473
-5.957,-0.718,9.036,-0.339,0.143,0.513
-5.942,-0.824,9.189,-0.349,0.150,0.560
-5.875,-0.867,9.251,-0.355,0.159,0.608
-5.760,-0.881,9.313,-0.357,0.166,0.653
-5.650,-0.915,9.371,-0.355,0.166,0.691
-5.578,-0.934,9.376,-0.350,0.161,0.727
-5.511,-0.934,9.328,-0.347,0.144,0.760
-5.392,-0.919,9.246,-0.347,0.118,0.784
-5.229,-0.876,9.213,-0.353,0.091,0.796
-5.143,-0.862,9.160,-0.360,0.066,0.803
-5.124,-0.828,9.084,-0.369,0.045,0.811
-5.109,-0.804,9.064,-0.383,0.025,0.827
-5.047,-0.809,9.079,-0.400,0.007,0.848
-4.932,-0.809,9.151,-0.416,-0.004,0.873
-4.741,-0.814,9.199,-0.427,-0.001,0.896
-4.583,-0.828,9.232,-0.435,0.013,0.918
-4.506,-0.848,9.218,-0.442,0.034,0.939
-4.405,-0.838,9.232,-0.449,0.054,0.964
-4.257,-0.819,9.184,-0.459,0.071,0.984
-4.104,-0.814,9.098,-0.474,0.083,0.990
-4.032,-0.819,9.055,-0.495,0.090,0.983
-4.075,-0.795,8.983,-0.515,0.088,0.966
-4.171,-0.804,8.993,-0.535,0.080,0.947
-4.324,-0.867,9.007,-0.551,0.061,0.931
-4.501,-0.943,9.021,-0.560,0.037,0.923

17.947,-7.197,15.802,0.332,-0.371,-2.313
17.655,-7.930,16.290,0.430,-0.212,-2.730
17.147,-8.619,16.707,0.549,-0.037,-3.093
16.443,-9.342,16.879,0.705,0.174,-3.447
15.912,-9.926,16.783,0.841,0.339,-3.711
15.495,-10.458,16.573,0.974,0.486,-3.965
15.237,-10.918,16.161,1.092,0.618,-4.235
